from,to
0,"760842, 136593, 891835, 27469, 538214, 387543, 856657, 38716, 322178, 309564, 857527, 302284, 824020, 695578, 867923, 693969, 638706, 645018, 535748, 414038, 235849, 835220, 417728, 427436, 438493, 91807, 815602, 11342, 500627, 451592, 112028, 846213, 523684"
1,"189348, 203402, 822292, 674265, 202191, 208814, 773119, 792151, 713628, 792266, 184984, 184896, 789543, 734138, 164684, 748615, 150176, 223236, 777734, 774614, 799858, 912757, 284930, 648208, 460573, 484795, 449352, 448933, 436135, 435399, 505620, 426314, 425667, 521022, 421091, 522701, 532018, 408707, 539143, 552600, 384341, 240041, 635575, 276233, 619841, 614906, 610457, 225530, 604413, 599243, 334309, 578091, 573555, 569212, 363925, 303045, 824625, 187770, 860525, 838771, 69209, 907505, 893884, 867774, 8517, 862566, 53051, 894228, 14456, 51573, 33023"
2,"531596, 397349, 178815, 779195, 727948, 729403, 783319, 581609, 30957, 723893, 136144, 738649, 888289, 769429, 137136, 385050, 206688, 564202, 564998, 565424, 597621, 357310, 163524, 747569, 396205, 644135, 528391, 10245, 488515, 494042, 190733, 660384, 907005, 718679, 433724, 654863, 430119, 858904, 912247, 89958, 908276, 828769, 462435, 107219, 518625, 423174, 2937, 857417, 472889, 895278, 863279"
4,"682408, 740954, 746182, 582139, 52105, 680677, 242328, 670449, 302178, 609886, 173976, 653863, 240511, 268108, 722051, 715102, 44695, 600077, 62391, 464936, 72960, 412198, 782447, 531289, 525525, 109681, 795253, 900126, 425899, 124446, 103137, 904600, 438091, 836461, 91681, 75753, 449833, 79146, 85196, 432806, 412196, 560895, 139972, 550473, 149560, 845467, 33210, 140825, 338481, 778296, 130331"
5,"477995, 582223, 579655, 672011, 574208, 39733, 477876, 597093, 219773, 407045, 619985, 518248, 902658, 645048, 873984, 300279, 15455, 608321, 581741, 286930, 535142, 427986, 332494, 81548, 646184, 701345, 109781, 133180, 141417, 795442, 86022, 176209, 696574, 145948, 749671, 173876, 82098, 691579"
6,"177631, 546100, 188708, 119755, 668992"
7,"86833, 358176, 833263, 357845, 824952, 343884, 577373, 749880, 338360, 880805, 452090, 477779, 158986, 160614, 747035, 743269, 167833, 877041, 39916, 359790, 487767, 514170, 64308, 514471, 801318, 75039, 107295, 13593, 429246, 507854, 109447, 9925, 803181, 415477, 17517, 305428, 124664, 19576, 494555, 539784, 439749, 552180, 388802, 780880, 599294, 206575, 168798, 280521, 174836, 621443, 255894, 637227, 866520, 247520, 46123, 57818, 707223, 231693, 230497, 659005, 227011, 226374, 858446, 694921, 43911, 43343, 571440, 40379, 173772, 61510"
8,"880924, 734611, 636166, 331202, 55948, 418074, 846855, 139221, 776489, 704230, 882714, 333064, 808449, 807179, 666882"
9,"227153, 780043, 9262, 735251, 247201, 811853, 74718, 310299, 854813, 795791, 704303, 189159, 504263, 590539, 95866, 804192, 254344, 778409, 721062, 254657, 31180, 544239, 761184, 259179, 547992"
10,"865548, 48495, 556796, 284798, 109252, 812141, 509884, 507927, 100774, 94430, 49988, 332640, 310676, 85506, 129774, 826668, 875821, 134964, 181848, 194746, 393685, 838973, 869311, 390902"
