from,to
2937,2
8517,1
9262,9
9925,7
10245,2
10897,11
11342,0
13593,7
14456,1
15455,5
17517,7
19576,7
27469,0
30957,2
31180,9
33023,1
33210,4
38716,0
39733,5
39916,7
40379,7
42021,11
43343,7
43911,7
44695,4
46123,7
48495,10
49988,10
50086,11
51573,1
52105,4
53051,1
55948,8
57818,7
61510,7
62391,4
64308,7
69209,1
71130,11
72960,4
74718,9
75039,7
75364,11
75753,4
79146,4
81548,5
82098,5
85196,4
85506,10
86022,5
86833,7
89958,2
91681,4
91807,0
94430,10
95579,11
95866,9
100774,10
103137,4
105322,11
107219,2
107295,7
109252,10
109447,7
109681,4
109781,5
111099,11
112028,0
115712,11
119755,6
124446,4
124664,7
129774,10
130331,4
133180,5
134964,10
136144,2
136593,0
137136,2
139221,8
139972,4
140825,4
141417,5
145948,5
149560,4
150176,1
158986,7
160306,11
160614,7
163524,2
164684,1
167833,7
168798,7
172589,11
173772,7
173876,5
173976,4
174836,7
176209,5
177631,6
178815,2
181848,10
184896,1
184984,1
187770,1
188708,6
189159,9
189348,1
190733,2
194746,10
202191,1
203402,1
206575,7
206688,2
208814,1
216203,11
219773,5
223236,1
224748,11
225530,1
226374,7
227011,7
227153,9
230497,7
231693,7
235849,0
240041,1
240511,4
242328,4
247201,9
247520,7
254344,9
254657,9
255894,7
259179,9
268108,4
276233,1
280521,7
280605,11
284798,10
284930,1
286930,5
294679,11
300279,5
302178,4
302284,0
303045,1
305428,7
309564,0
310299,9
310676,10
322178,0
331202,8
332494,5
332640,10
333064,8
334309,1
338360,7
338481,4
343884,7
357310,2
357845,7
358176,7
359790,7
360442,11
363925,1
384341,1
385050,2
387543,0
388802,7
389370,11
390902,10
393685,10
396205,2
397349,2
400675,11
407045,5
408707,1
412196,4
412198,4
414038,0
415477,7
415575,11
416440,11
417728,0
418074,8
421091,1
423174,2
425667,1
425899,4
426314,1
427436,0
427986,5
429246,7
430119,2
432806,4
433724,2
435399,1
436135,1
438091,4
438493,0
439749,7
448933,1
449352,1
449833,4
451592,0
452090,7
460573,1
462435,2
464936,4
472889,2
477779,7
477876,5
477995,5
484795,1
487767,7
488515,2
494042,2
494555,7
500627,0
504263,9
504448,11
505620,1
507854,7
507927,10
509884,10
514170,7
514281,11
514471,7
518248,5
518625,2
521022,1
522701,1
523684,0
525525,4
528391,2
531289,4
531596,2
532018,1
535142,5
535748,0
538214,0
539143,1
539784,7
544239,9
546100,6
547992,9
550473,4
552180,7
552600,1
556796,10
560895,4
564202,2
564998,2
565424,2
569212,1
571440,7
573555,1
574208,5
577373,7
578091,1
579432,11
579655,5
581609,2
581741,5
582139,4
582223,5
590539,9
597093,5
597621,2
599243,1
599294,7
600077,4
604413,1
606871,11
608321,5
609886,4
610457,1
614906,1
615274,11
619841,1
619985,5
621443,7
622656,11
635575,1
636166,8
637227,7
638706,0
644135,2
645018,0
645048,5
646184,5
648208,1
653863,4
654863,2
659005,7
660384,2
666882,8
668992,6
670449,4
672011,5
674265,1
680677,4
682408,4
691579,5
693969,0
694921,7
695578,0
696574,5
696657,11
701345,5
704230,8
704303,9
707223,7
713628,1
715102,4
718679,2
721062,9
722051,4
723893,2
727948,2
729403,2
734138,1
734611,8
735251,9
738649,2
740954,4
743269,7
746182,4
747035,7
747569,2
748615,1
749671,5
749880,7
750725,11
752898,11
757363,11
760842,0
761184,9
765552,11
769429,2
773119,1
774614,1
776489,8
777734,1
778296,4
778409,9
779195,2
780043,9
780880,7
782447,4
783319,2
789543,1
792151,1
792266,1
795253,4
795442,5
795791,9
799858,1
801318,7
803181,7
804192,9
807165,11
807179,8
808449,8
811853,9
812141,10
815602,0
822292,1
824020,0
824625,1
824952,7
826668,10
828769,2
833263,7
835220,0
836461,4
838771,1
838973,10
845467,4
846213,0
846855,8
852008,11
854813,9
856657,0
857417,2
857527,0
858446,7
858904,2
860525,1
862566,1
863279,2
865548,10
866520,7
867774,1
867923,0
869311,10
873984,5
875821,10
877041,7
880805,7
880924,8
881590,11
882714,8
888289,2
888384,11
891835,0
893884,1
894228,1
895278,2
900126,4
902658,5
902793,11
904600,4
907005,2
907505,1
908276,2
912247,2
912757,1
