from,to
0,387543
0,693969
0,645018
0,846213
0,638706
0,112028
0,891835
0,414038
0,136593
0,11342
0,835220
0,417728
0,857527
0,427436
0,91807
0,438493
0,451592
0,538214
0,535748
0,523684
0,500627
0,856657
0,322178
0,867923
0,695578
0,38716
0,815602
0,309564
0,760842
0,235849
0,27469
0,824020
0,302284
1,51573
1,860525
1,777734
1,552600
1,862566
1,838771
1,539143
1,53051
1,789543
1,532018
1,792151
1,522701
1,792266
1,799858
1,774614
1,569212
1,573555
1,773119
1,734138
1,635575
1,619841
1,614906
1,610457
1,748615
1,713628
1,648208
1,604413
1,824625
1,599243
1,674265
1,578091
1,822292
1,69209
1,187770
1,867774
1,384341
1,893884
1,894228
1,521022
1,150176
1,363925
1,8517
1,334309
1,303045
1,164684
1,284930
1,408707
1,276233
1,240041
1,225530
1,223236
1,208814
1,203402
1,912757
1,202191
1,184896
1,184984
1,189348
1,907505
1,421091
1,33023
1,448933
1,505620
1,436135
1,460573
1,425667
1,426314
1,484795
1,14456
1,435399
1,449352
2,738649
2,747569
2,462435
2,178815
2,206688
2,769429
2,531596
2,528391
2,779195
2,494042
2,783319
2,190733
2,518625
2,472889
2,729403
2,581609
2,723893
2,136144
2,137136
2,423174
2,397349
2,396205
2,644135
2,385050
2,430119
2,89958
2,654863
2,660384
2,433724
2,357310
2,565424
2,163524
2,564998
2,564202
2,718679
2,597621
2,727948
2,107219
2,488515
2,907005
2,828769
2,895278
2,858904
2,10245
2,888289
2,863279
2,908276
2,857417
2,912247
2,30957
2,2937
4,103137
4,834756
4,525525
4,740954
4,741880
4,91681
4,567996
4,560895
4,743921
4,746182
4,553727
4,531289
4,47995
4,550473
4,44695
4,100459
4,529551
4,33210
4,582139
4,756058
4,836461
4,682408
4,680677
4,62391
4,64096
4,670449
4,669075
4,841151
4,653863
4,52105
4,855271
4,845467
4,72960
4,632612
4,75753
4,722051
4,850722
4,79146
4,609886
4,600077
4,82615
4,85196
4,715102
4,124446
4,109681
4,240511
4,317409
4,393010
4,242328
4,149560
4,170194
4,370208
4,782447
4,900126
4,268108
4,338481
4,464936
4,156401
4,787086
4,795253
4,794897
4,302178
4,323256
4,140825
4,778296
4,904600
4,139972
4,19
4,464120
4,459803
4,233196
4,438091
4,432806
4,130331
4,449833
4,173976
4,427934
4,425899
4,412198
4,412196
5,173876
5,645048
5,219773
5,286930
5,672011
5,176209
5,300279
5,691579
5,619985
5,646184
5,477876
5,582223
5,608321
5,477995
5,873984
5,109781
5,15455
5,535142
5,427986
5,133180
5,407045
5,902658
5,141417
5,574208
5,579655
5,581741
5,86022
5,597093
5,332494
5,82098
5,81548
5,145948
5,696574
5,518248
5,39733
5,795442
5,701345
5,749671
6,668992
6,188708
6,177631
6,119755
6,546100
7,552180
7,877041
7,439749
7,13593
7,880805
7,599294
7,40379
7,429246
7,415477
7,39916
7,9925
7,833263
7,43911
7,388802
7,780880
7,75039
7,637227
7,359790
7,358176
7,357845
7,343884
7,621443
7,452090
7,824952
7,124664
7,866520
7,17517
7,747035
7,107295
7,46123
7,109447
7,514471
7,19576
7,514170
7,43343
7,743269
7,571440
7,507854
7,858446
7,494555
7,577373
7,487767
7,86833
7,338360
7,477779
7,749880
7,158986
7,539784
7,803181
7,280521
7,206575
7,167833
7,61510
7,168798
7,57818
7,694921
7,255894
7,305428
7,226374
7,659005
7,174836
7,227011
7,230497
7,173772
7,801318
7,64308
7,231693
7,707223
7,247520
7,160614
8,776489
8,882714
8,418074
8,880924
8,139221
8,734611
8,666882
8,808449
8,704230
8,333064
8,331202
8,55948
8,846855
8,636166
8,807179
9,254344
9,721062
9,95866
9,544239
9,310299
9,804192
9,811853
9,227153
9,778409
9,590539
9,247201
9,74718
9,504263
9,761184
9,735251
9,189159
9,254657
9,9262
9,780043
9,704303
9,854813
9,547992
9,259179
9,31180
9,795791
10,181848
10,100774
10,194746
10,869311
10,838973
10,556796
10,865548
10,507927
10,509884
10,94430
10,109252
10,85506
10,826668
10,48495
10,310676
10,875821
10,812141
10,332640
10,129774
10,49988
10,284798
10,390902
10,393685
10,134964
11,216203
11,280605
11,105322
11,752898
11,750725
11,902793
11,360442
11,160306
11,389370
11,294679
11,10897
11,888384
11,504448
11,415575
11,416440
11,881590
11,765552
11,224748
11,514281
11,111099
11,807165
11,757363
11,172589
11,115712
11,400675
11,696657
11,42021
11,71130
11,852008
11,95579
11,50086
11,615274
11,622656
11,606871
11,713134
11,579432
11,75364
12,844958
13,7235
13,466856
13,317571
